"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02977016427964e-05,10.0085279906248,0.00306130089888055,1.96462039516234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35899107528099e-05,4.16787465799685,0.00504173541514451,4.93102700686344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35687340031804e-05,16.5677958846807,0.00304756078889431,1.84571420034237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59303468588225e-05,8.71344913109657,0.00324922155594266,2.78897945017991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2507848957508e-05,14.8163824639908,0.00304674242299819,2.02539087137969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70406118614631e-05,20.2226506408641,0.00205260533333339,1.26098149565569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90236976994763e-05,7.35417352812805,0.00285790269384986,1.79926462962553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","mar 12",TRUE,"gompertz",FALSE,FALSE,0,0.00157779281229067,1264.41741934353,1.66388317248017,4091.62708166181,3.91770670577432e-05,13.6490919844313,0.00845879780232491,0.00151334653698069,0.00164223908760066,1241.96466302914,1286.87017565792,1.64996845009535,1.67779789486499,0.0015010057608575,0.00165457986372385,1237.66519905404,1291.16963963301,1.64730392878761,1.68046241617273,0.00212873348758802,1355.02516702921,1.83935622064056,4081.42649647184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45517784993846e-05,2.09311025610022,0.00306180919061042,2.26308383156926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2645087835563e-05,28.8013877203642,0.00310686504785331,2.15833177729237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","treatment","q1f2","mar 12",TRUE,"gompertz",FALSE,FALSE,0,0.00316896389837832,1082.63027623281,1.94830627716654,5641.59818632416,6.7353149413067e-05,7.06762318542555,0.00517993039728575,0.00305816796759383,0.00327975982916282,1071.00403609279,1094.25651637284,1.93978529166301,1.95682726267008,0.00303695172552871,0.00330097607122793,1068.77773478938,1096.48281767625,1.93815361358786,1.95845894074522,0.00610800739365214,1233.18148890384,2.0479332052341,5668.02768001871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","treatment","q1b4","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88139497212615e-05,18.2776453314878,0.00228411055872427,1.51581274693762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","treatment","bb362","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59089018485986e-05,26.9080166844958,0.00309792137667634,2.08478978081738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","treatment","02-343","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36657884706788e-05,23.4777894972747,0.00246184343634838,1.50176983227243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","treatment","ec124","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21913517026695e-05,-10.8496907449228,0.00318466214095861,2.57611355050832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","treatment","11-228","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26556063305384e-05,4.3005810814935,0.00402931299360203,3.38799017792147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","treatment","scc187","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93778399681815e-05,17.4909498037345,0.00303119925285448,1.98108046676758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","treatment","ec116","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31037038762809e-05,14.3706101980357,0.00275659443657398,1.56032484059604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","treatment","p. caro","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77042460228567e-05,1.12903170769069,0.00304895126149554,2.33763673511421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","treatment","ec52","mar 12",TRUE,"gompertz",FALSE,FALSE,0,0.0014976014753573,1248.30336293566,1.49155387617487,3742.35777977194,3.4412354877523e-05,12.0065595890906,0.00659904513431738,0.00144099315158377,0.00155420979913082,1228.5525724116,1268.05415345971,1.48069844692892,1.50240930542083,0.00143015325979735,0.00156504969091724,1224.77050614104,1271.83621973027,1.47861974771161,1.50448800463814,0.00203908917716894,1334.49626908401,1.6603922734314,3736.25250609102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","treatment","62-268","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24683034906949e-05,14.4383160950049,0.00298181000274913,1.72532611037198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","treatment","ec102","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79810620043914e-05,14.887468482453,0.00320781066971578,2.2805045401171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","treatment","q1f2","mar 12",TRUE,"richards",FALSE,FALSE,0,0.00362220526889134,1205.88552560063,1.77471365639875,5153.85402080207,0.000117073856322462,10.5864631331033,0.005343221974952,0.00342961877524089,0.00381479176254179,1188.47079374667,1223.30025745458,1.76592405624995,1.78350325654754,0.00339274051049931,0.00385167002728336,1185.13605785975,1226.63499334151,1.76424094132784,1.78518637146965,0.00907042765748372,1346.72122290375,1.88414009086914,5170.70652327532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","treatment","q1b4","mar 12",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0096946326963e-05,10.4719819992699,0.00402778536014704,3.22423794840521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","control","02-343","mar 12",TRUE,"richards",FALSE,FALSE,0,0.000175765605488734,3161.93821315081,0.54075358151548,234.326101516823,3.1102367530752e-05,245.316915483897,0.194294403514644,0.000124602210900647,0.000226929000076821,2758.3918871798,3565.48453912182,0.221139287733891,0.860367875297069,0.00011480496512846,0.000236726245849008,2681.11705880237,3642.75936749925,0.159936550626778,0.921570612404182,0.000240786121401685,3424.23420286007,0.20765021984941,234.346919061674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","control","ec124","mar 12",TRUE,"gompertz",FALSE,FALSE,0,9.9344906644365e-07,728.167065808832,0.00227892664878829,5.25807527666321,5.35558903391616e-08,56.727927646797,5.91530882005251e-05,9.05349626835729e-07,1.08154850605157e-06,634.849624829851,821.484506787813,0.00218161981869843,0.00237623347887815,8.88479521378893e-07,1.09841861150841e-06,616.98032762111,839.353803996554,0.00216298659591526,0.00239486670166132,3.12433782965143e-06,967.366135495086,0.0024539890121799,5.21657938081887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","control","11-228","mar 12",TRUE,"gompertz",FALSE,FALSE,0,2.3646022096147e-06,442.864242837677,0.00521763232302676,13.7145554833386,5.66299992965538e-08,25.0700805277901,4.90787589313109e-05,2.27144586077187e-06,2.45775855845753e-06,401.623960369463,484.104525305892,0.00513689776458475,0.00529836688146876,2.25360741099346e-06,2.47559700823595e-06,393.726885003209,492.001600672146,0.00512143795552139,0.00531382669053213,9.76944535518703e-06,1281.29210010336,0.0050055825385402,13.6875018702945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
